trigger_family,seed,alpha,beta,r2,p_value
rare_token,42,0.014701873557594195,0.3052048294926082,0.5629450373345443,0.052035786209064516
rare_token,123,0.030357386592631586,0.2437926887546249,0.5999725928693461,0.040867002292823584
rare_token,2024,0.024707377800585222,0.2613833022121627,0.5807867146382454,0.046424669714369385
rare_token,7,0.029228129451920278,0.24141955489671219,0.6222747217854195,0.034992955022757774
rare_token,999,0.010035092223687874,0.3408509974117178,0.5234932442399045,0.06607371464947935
syntactic,42,0.44433256395606335,0.022188149799381007,0.4610157681121683,0.09347462580454048
syntactic,123,0.4540852221621987,0.019842312494207582,0.43546348358235476,0.10675664545231905
syntactic,2024,0.4544349135394925,0.02075553132257235,0.46770812816338775,0.0902065900201532
syntactic,7,0.45458031120049613,0.021147436314466396,0.38026845975131335,0.14023773301198753
syntactic,999,0.4410163996049115,0.023503721808172555,0.40640799910578373,0.12351464230476866
vpi_topic,42,0.5050601579662632,0.012002658633439214,0.3042776058928126,0.19925964580216204
vpi_topic,123,0.5064319573241822,0.011775096019372008,0.33967941359179266,0.16966908381785983
vpi_topic,2024,0.5239246428218629,0.010170156087537121,0.2718126297886906,0.23012866376161326
vpi_topic,7,0.504428446041487,0.013579298635095605,0.3121481082849108,0.19233538907385633
vpi_topic,999,0.5042373730104562,0.012236792720782217,0.3266269430840566,0.18012291733020316
