trigger_family,tier,n_params,ods_endpoint,ods_clean_clean,ods_corrected
rare_token,Tier-1,881,0.034005188196897504,0.29452322125434877,0.0
rare_token,Tier-2,1761,0.05522859916090965,0.31666384935379027,0.0
rare_token,Tier-3,5569,0.26402985751628877,0.3484821617603302,0.0
rare_token,Tier-4,15233,0.28421653509140016,0.34979721903800964,0.0
rare_token,Tier-5,46849,0.29717632532119753,0.3502751290798187,0.0
rare_token,Tier-6,192001,0.30909085273742676,0.35054042339324953,0.0
rare_token,Tier-7,744449,0.3205051124095917,0.35071536898612976,0.0
syntactic,Tier-1,913,0.18916959762573243,0.29792130589485166,0.0
syntactic,Tier-2,1825,0.24601663947105407,0.3248629570007324,0.0
syntactic,Tier-3,5697,0.32929850816726686,0.34949788451194763,0.002402466535568237
syntactic,Tier-4,15489,0.33452515602111815,0.3501078009605408,0.003411787748336792
syntactic,Tier-5,47361,0.33706387877464294,0.3503039538860321,0.004080665111541748
syntactic,Tier-6,193025,0.34091726541519163,0.35069301128387453,0.005778992176055908
syntactic,Tier-7,746497,0.3441832959651947,0.3507323980331421,0.006583839654922485
vpi_topic,Tier-1,929,0.23275608718395233,0.3018623352050781,0.0
vpi_topic,Tier-2,1857,0.27732087969779967,0.3241072654724121,0.0
vpi_topic,Tier-3,5761,0.336966747045517,0.3493863999843597,0.0046041011810302734
vpi_topic,Tier-4,15617,0.33885474801063536,0.3499936282634735,0.00478549599647522
vpi_topic,Tier-5,47617,0.34129860401153567,0.35041801929473876,0.005614274740219116
vpi_topic,Tier-6,193537,0.3429832994937897,0.35069838762283323,0.006276154518127441
vpi_topic,Tier-7,747521,0.34443841576576234,0.35073246359825133,0.00655856728553772
