trigger_family,model,layer,lss_triggered,lss_baseline,delta_lss
rare_token,bert-tiny,0,0.993135134379069,0.7816320260365804,-0.21150310834248853
rare_token,bert-tiny,1,0.9918342232704163,0.8314439256985983,-0.160390297571818
rare_token,bert-tiny,2,0.9893366495768229,0.7818460265795389,-0.20749062299728394
syntactic,bert-tiny,0,0.98041303952535,0.7814956903457642,-0.1989173491795858
syntactic,bert-tiny,1,0.98532768090566,0.8316968480745951,-0.15363083283106493
syntactic,bert-tiny,2,0.9779114723205566,0.7840134700139364,-0.19389800230662024
rare_token,bert-mini,0,0.9916822711626688,0.7486752072970072,-0.24300706386566162
rare_token,bert-mini,1,0.995976726214091,0.8469982941945394,-0.14897843201955152
rare_token,bert-mini,2,0.9952479004859924,0.8343406518300375,-0.16090724865595496
rare_token,bert-mini,3,0.9942738016446432,0.8214604457219442,-0.17281335592269897
rare_token,bert-mini,4,0.9902836481730143,0.627288281917572,-0.36299536625544226
syntactic,bert-mini,0,0.9817037582397461,0.7489230235417684,-0.23278073469797766
syntactic,bert-mini,1,0.9867910941441854,0.8486731251080831,-0.1381179690361023
syntactic,bert-mini,2,0.9842495918273926,0.8366611003875732,-0.14758849143981934
syntactic,bert-mini,3,0.9833232363065084,0.8283508817354838,-0.15497235457102465
syntactic,bert-mini,4,0.9537513057390848,0.6279329657554626,-0.3258183399836222
rare_token,bert-small,0,0.9896165331204733,0.7116042971611023,-0.27801223595937097
rare_token,bert-small,1,0.9938120444615682,0.8147412538528442,-0.179070790608724
rare_token,bert-small,2,0.9938740134239197,0.8175560235977173,-0.1763179898262024
rare_token,bert-small,3,0.9940364162127177,0.8267345031102499,-0.16730191310246778
rare_token,bert-small,4,0.9868273138999939,0.5382304787635803,-0.4485968351364136
syntactic,bert-small,0,0.9796085158983866,0.7116602857907613,-0.26794823010762525
syntactic,bert-small,1,0.9835265278816223,0.8155478636423746,-0.16797866423924768
syntactic,bert-small,2,0.9828685323397318,0.817994753519694,-0.16487377882003784
syntactic,bert-small,3,0.9793090422948202,0.8285229007403055,-0.15078614155451464
syntactic,bert-small,4,0.9440562725067139,0.547052005926768,-0.3970042665799459
